date,value
1/1/2017,8570094243
1/1/2016,9368469823
1/1/2015,13470089921
1/1/2014,9857162112
1/1/2013,10619431583
1/1/2012,11296279514
1/1/2011,8895774251
1/1/2010,15119439204
1/1/2009,10885801852
1/1/2008,114664434.6
1/1/2007,7572512432
1/1/2006,9071369835
1/1/2005,7690731246
1/1/2004,3924786635
1/1/2003,4376052632
1/1/2002,3218947368
1/1/2001,3192894737
1/1/2000,553947368.4
1/1/1999,3787631579
1/1/1998,3895263158
1/1/1997,2163401816
1/1/1996,5136514576
1/1/1995,5078414948
1/1/1994,4178239335
1/1/1993,4341800916
1/1/1992,5005642760
1/1/1991,5183358086
1/1/1990,3998448522
1/1/1989,2332455289
1/1/1988,1667871569
1/1/1987,719418050.4
1/1/1986,422679710
1/1/1985,488874111
1/1/1984,694712466.2
1/1/1983,797476861.3
1/1/1982,1260527733
1/1/1981,1397196045
1/1/1980,1264688331
1/1/1979,933903976.3
1/1/1978,573467421.8
1/1/1977,499991005
1/1/1976,405885818.5
1/1/1975,381259652.1
1/1/1974,350491202.9
