Year,Indicator Name,Value
2018,"Imports of goods, services and primary income (BoP, current US$)",2.47348E+11
2017,"Imports of goods, services and primary income (BoP, current US$)",2.23211E+11
2016,"Imports of goods, services and primary income (BoP, current US$)",2.00927E+11
2015,"Imports of goods, services and primary income (BoP, current US$)",2.07595E+11
2014,"Imports of goods, services and primary income (BoP, current US$)",2.45415E+11
2013,"Imports of goods, services and primary income (BoP, current US$)",2.42715E+11
2012,"Imports of goods, services and primary income (BoP, current US$)",2.40783E+11
2011,"Imports of goods, services and primary income (BoP, current US$)",2.31775E+11
2010,"Imports of goods, services and primary income (BoP, current US$)",2.01594E+11
2009,"Imports of goods, services and primary income (BoP, current US$)",1.60181E+11
2008,"Imports of goods, services and primary income (BoP, current US$)",1.97879E+11
2007,"Imports of goods, services and primary income (BoP, current US$)",1.82563E+11
2006,"Imports of goods, services and primary income (BoP, current US$)",1.603E+11
2005,"Imports of goods, services and primary income (BoP, current US$)",1.42268E+11
2004,"Imports of goods, services and primary income (BoP, current US$)",1.29237E+11
2003,"Imports of goods, services and primary income (BoP, current US$)",1.0619E+11
2002,"Imports of goods, services and primary income (BoP, current US$)",1.00403E+11
2001,"Imports of goods, services and primary income (BoP, current US$)",94771052632
2000,"Imports of goods, services and primary income (BoP, current US$)",1.0386E+11
1999,"Imports of goods, services and primary income (BoP, current US$)",83638842105
1998,"Imports of goods, services and primary income (BoP, current US$)",72950469820
1997,"Imports of goods, services and primary income (BoP, current US$)",1.00176E+11
1996,"Imports of goods, services and primary income (BoP, current US$)",98092861820
1995,"Imports of goods, services and primary income (BoP, current US$)",93618275804
1994,"Imports of goods, services and primary income (BoP, current US$)",73275225873
1993,"Imports of goods, services and primary income (BoP, current US$)",57934924702
1992,"Imports of goods, services and primary income (BoP, current US$)",48760231087
1991,"Imports of goods, services and primary income (BoP, current US$)",43782938595
1990,"Imports of goods, services and primary income (BoP, current US$)",35485928185
1989,"Imports of goods, services and primary income (BoP, current US$)",28641024300
1988,"Imports of goods, services and primary income (BoP, current US$)",22790354299
