Year,states,value
1960,Net ODA received per capita (current US$),1.628179837
1960,"Total reserves (includes gold, current US$)",471000000
1960,GNI (current US$),1834574677
1961,Net ODA received per capita (current US$),2.246423761
1961,"Total reserves (includes gold, current US$)",472000000
1961,GNI (current US$),1840128054
1962,Net ODA received per capita (current US$),2.510255544
1962,"Total reserves (includes gold, current US$)",531546300
1962,GNI (current US$),1955115641
1963,Net ODA received per capita (current US$),1.418575917
1963,"Total reserves (includes gold, current US$)",555268400
1963,GNI (current US$),2454266301
1964,Net ODA received per capita (current US$),1.85652622
1964,"Total reserves (includes gold, current US$)",593424000
1964,GNI (current US$),2600287469
1965,Net ODA received per capita (current US$),2.328228129
1965,"Total reserves (includes gold, current US$)",469857200
1965,GNI (current US$),2866849601
1966,Net ODA received per capita (current US$),3.079646673
1966,"Total reserves (includes gold, current US$)",494285700
1966,GNI (current US$),3052397753
1967,Net ODA received per capita (current US$),2.299348307
1967,"Total reserves (includes gold, current US$)",457018000
1967,GNI (current US$),3151378544
1968,Net ODA received per capita (current US$),2.492721155
1968,"Total reserves (includes gold, current US$)",529201000
1968,GNI (current US$),3290866327
1969,Net ODA received per capita (current US$),2.921493413
1969,"Total reserves (includes gold, current US$)",619980000
1969,GNI (current US$),3573435254
1970,"Foreign direct investment, net inflows (BoP, current US$)",94000000
1970,Net ODA received per capita (current US$),2.439807571
1970,"Total reserves (includes gold, current US$)",667456900
1970,GNI (current US$),3803737097
1971,"Foreign direct investment, net inflows (BoP, current US$)",100000000
1971,Net ODA received per capita (current US$),3.813808285
1971,"Total reserves (includes gold, current US$)",827084342
1971,GNI (current US$),4125413623
1972,"Foreign direct investment, net inflows (BoP, current US$)",114000000
1972,Net ODA received per capita (current US$),4.422357545
1972,"Total reserves (includes gold, current US$)",1014857175
1972,GNI (current US$),4909206980
1973,"Foreign direct investment, net inflows (BoP, current US$)",172000000
1973,Net ODA received per capita (current US$),3.813627156
1973,"Total reserves (includes gold, current US$)",1461558717
1973,GNI (current US$),7393279581
1974,"Imports of goods, services and primary income (BoP, current US$)",5232925277
1974,"Current account balance (BoP, current US$)",-538414668.1
1974,"Exports of goods, services and primary income (BoP, current US$)",4733146847
1974,"Foreign direct investment, net inflows (BoP, current US$)",570819254.6
1974,Net ODA received per capita (current US$),5.756835787
1974,"Total reserves (includes gold, current US$)",1856664245
1974,Total reserves in months of imports,4.257651267
1974,GNI (current US$),9081882763
1975,"Imports of goods, services and primary income (BoP, current US$)",4855075996
1975,"Current account balance (BoP, current US$)",-491272532.4
1975,"Exports of goods, services and primary income (BoP, current US$)",4392210379
1975,"Foreign direct investment, net inflows (BoP, current US$)",350491202.9
1975,Net ODA received per capita (current US$),8.075850274
1975,"Total reserves (includes gold, current US$)",1688955830
1975,Total reserves in months of imports,4.174490777
1975,GNI (current US$),8996502332
1976,"Imports of goods, services and primary income (BoP, current US$)",5246353149
1976,"Current account balance (BoP, current US$)",585857195
1976,"Exports of goods, services and primary income (BoP, current US$)",5865654173
1976,"Foreign direct investment, net inflows (BoP, current US$)",381259652.1
1976,Net ODA received per capita (current US$),5.011753977
1976,"Total reserves (includes gold, current US$)",2627815149
1976,Total reserves in months of imports,6.010609825
1976,GNI (current US$),10618508026
1977,"Imports of goods, services and primary income (BoP, current US$)",6373098047
1977,"Current account balance (BoP, current US$)",446921321.7
1977,"Exports of goods, services and primary income (BoP, current US$)",6841146559
1977,"Foreign direct investment, net inflows (BoP, current US$)",405885818.5
1977,Net ODA received per capita (current US$),5.504948094
1977,"Total reserves (includes gold, current US$)",3070865971
1977,Total reserves in months of imports,5.78217868
1977,GNI (current US$),12620972657
1978,"Imports of goods, services and primary income (BoP, current US$)",8233444278
1978,"Current account balance (BoP, current US$)",126940721.5
1978,"Exports of goods, services and primary income (BoP, current US$)",8385859498
1978,"Foreign direct investment, net inflows (BoP, current US$)",499991005
1978,Net ODA received per capita (current US$),6.067284888
1978,"Total reserves (includes gold, current US$)",3670453192
1978,Total reserves in months of imports,5.349576292
1978,GNI (current US$),15624352332
1979,"Imports of goods, services and primary income (BoP, current US$)",11481685983
1979,"Current account balance (BoP, current US$)",941309074.9
1979,"Exports of goods, services and primary income (BoP, current US$)",12418425596
1979,"Foreign direct investment, net inflows (BoP, current US$)",573467421.8
1979,Net ODA received per capita (current US$),9.256293417
1979,"Total reserves (includes gold, current US$)",5005509362
1979,Total reserves in months of imports,5.231471444
1979,GNI (current US$),20267775544
1980,"Imports of goods, services and primary income (BoP, current US$)",15100487707
1980,"Current account balance (BoP, current US$)",-265976587.4
1980,"Exports of goods, services and primary income (BoP, current US$)",14836348609
1980,"Foreign direct investment, net inflows (BoP, current US$)",933903976.3
1980,Net ODA received per capita (current US$),9.747005146
1980,"Total reserves (includes gold, current US$)",5754999182
1980,Total reserves in months of imports,4.573361571
1980,GNI (current US$),23606964031
1981,"Imports of goods, services and primary income (BoP, current US$)",16330711230
1981,"Current account balance (BoP, current US$)",-2469050074
1981,"Exports of goods, services and primary income (BoP, current US$)",13878587321
1981,"Foreign direct investment, net inflows (BoP, current US$)",1264688331
1981,Net ODA received per capita (current US$),10.09759555
1981,"Total reserves (includes gold, current US$)",5024212852
1981,Total reserves in months of imports,3.6918511
1981,GNI (current US$),24131765114
1982,"Imports of goods, services and primary income (BoP, current US$)",17867238550
1982,"Current account balance (BoP, current US$)",-3585265856
1982,"Exports of goods, services and primary income (BoP, current US$)",14298672248
1982,"Foreign direct investment, net inflows (BoP, current US$)",1397196045
1982,Net ODA received per capita (current US$),9.309518134
1982,"Total reserves (includes gold, current US$)",4832354978
1982,Total reserves in months of imports,3.245507669
1982,GNI (current US$),25567354629
1983,"Imports of goods, services and primary income (BoP, current US$)",19705331186
1983,"Current account balance (BoP, current US$)",-3482175553
1983,"Exports of goods, services and primary income (BoP, current US$)",16217555202
1983,"Foreign direct investment, net inflows (BoP, current US$)",1260527733
1983,Net ODA received per capita (current US$),11.84054125
1983,"Total reserves (includes gold, current US$)",4672616248
1983,Total reserves in months of imports,2.845493661
1983,GNI (current US$),28446560117
1984,"Imports of goods, services and primary income (BoP, current US$)",20699836797
1984,"Current account balance (BoP, current US$)",-1656823249
1984,"Exports of goods, services and primary income (BoP, current US$)",19066907986
1984,"Foreign direct investment, net inflows (BoP, current US$)",797476861.3
1984,Net ODA received per capita (current US$),21.39439332
1984,"Total reserves (includes gold, current US$)",4441615351
1984,Total reserves in months of imports,2.574869779
1984,GNI (current US$),31653012459
1985,"Imports of goods, services and primary income (BoP, current US$)",18383098686
1985,"Current account balance (BoP, current US$)",-600070478.1
1985,"Exports of goods, services and primary income (BoP, current US$)",17775779034
1985,"Foreign direct investment, net inflows (BoP, current US$)",694712466.2
1985,Net ODA received per capita (current US$),14.53946179
1985,"Total reserves (includes gold, current US$)",5677019192
1985,Total reserves in months of imports,3.705807789
1985,GNI (current US$),28981876762
1986,"Imports of goods, services and primary income (BoP, current US$)",16344742763
1986,"Current account balance (BoP, current US$)",-101493674.4
1986,"Exports of goods, services and primary income (BoP, current US$)",16184754643
1986,"Foreign direct investment, net inflows (BoP, current US$)",488874111
1986,Net ODA received per capita (current US$),11.87753631
1986,"Total reserves (includes gold, current US$)",6942091429
1986,Total reserves in months of imports,5.096751803
1986,GNI (current US$),25884403812
1987,"Imports of goods, services and primary income (BoP, current US$)",18485192650
1987,"Current account balance (BoP, current US$)",2575369613
1987,"Exports of goods, services and primary income (BoP, current US$)",20983170204
1987,"Foreign direct investment, net inflows (BoP, current US$)",422679710
1987,Net ODA received per capita (current US$),21.91381174
1987,"Total reserves (includes gold, current US$)",8572963846
1987,Total reserves in months of imports,5.565295861
1987,GNI (current US$),30204794412
1988,"Imports of goods, services and primary income (BoP, current US$)",22790354299
1988,"Current account balance (BoP, current US$)",1867279335
1988,"Exports of goods, services and primary income (BoP, current US$)",24449139868
1988,"Foreign direct investment, net inflows (BoP, current US$)",719418050.4
1988,Net ODA received per capita (current US$),5.99090692
1988,"Total reserves (includes gold, current US$)",7490586592
1988,Total reserves in months of imports,3.944082568
1988,GNI (current US$),33330533069
1989,"Imports of goods, services and primary income (BoP, current US$)",28641024300
1989,"Current account balance (BoP, current US$)",314525581.4
1989,"Exports of goods, services and primary income (BoP, current US$)",28817852649
1989,"Foreign direct investment, net inflows (BoP, current US$)",1667871569
1989,Net ODA received per capita (current US$),7.844731613
1989,"Total reserves (includes gold, current US$)",8733335043
1989,Total reserves in months of imports,3.659087727
1989,GNI (current US$),36669373892
1990,"Imports of goods, services and primary income (BoP, current US$)",35485928185
1990,"Current account balance (BoP, current US$)",-869910809.2
1990,"Exports of goods, services and primary income (BoP, current US$)",34513979389
1990,"Foreign direct investment, net inflows (BoP, current US$)",2332455289
1990,Net ODA received per capita (current US$),25.87601568
1990,"Total reserves (includes gold, current US$)",10658831703
1990,Total reserves in months of imports,3.604414115
1990,GNI (current US$),42152020407
1991,"Imports of goods, services and primary income (BoP, current US$)",43782938595
1991,"Current account balance (BoP, current US$)",-4182807690
1991,"Exports of goods, services and primary income (BoP, current US$)",39511769412
1991,"Foreign direct investment, net inflows (BoP, current US$)",3998448522
1991,Net ODA received per capita (current US$),15.54540892
1991,"Total reserves (includes gold, current US$)",11716563985
1991,Total reserves in months of imports,3.211268415
1991,GNI (current US$),46670061100
1992,"Imports of goods, services and primary income (BoP, current US$)",48760231087
1992,"Current account balance (BoP, current US$)",-2167322023
1992,"Exports of goods, services and primary income (BoP, current US$)",46420967921
1992,"Foreign direct investment, net inflows (BoP, current US$)",5183358086
1992,Net ODA received per capita (current US$),10.65324776
1992,"Total reserves (includes gold, current US$)",18023989163
1992,Total reserves in months of imports,4.435743333
1992,GNI (current US$),56023874033
1993,"Imports of goods, services and primary income (BoP, current US$)",57934924702
1993,"Current account balance (BoP, current US$)",-2990954102
1993,"Exports of goods, services and primary income (BoP, current US$)",54656490922
1993,"Foreign direct investment, net inflows (BoP, current US$)",5005642760
1993,Net ODA received per capita (current US$),4.824762343
1993,"Total reserves (includes gold, current US$)",28182868224
1993,Total reserves in months of imports,5.837487844
1993,GNI (current US$),63683617575
1994,"Imports of goods, services and primary income (BoP, current US$)",73275225873
1994,"Current account balance (BoP, current US$)",-4520137131
1994,"Exports of goods, services and primary income (BoP, current US$)",68525690449
1994,"Foreign direct investment, net inflows (BoP, current US$)",4341800916
1994,Net ODA received per capita (current US$),3.288199346
1994,"Total reserves (includes gold, current US$)",26338865721
1994,Total reserves in months of imports,4.313414048
1994,GNI (current US$),70892013413
1995,"Imports of goods, services and primary income (BoP, current US$)",93618275804
1995,"Current account balance (BoP, current US$)",-8643572906
1995,"Exports of goods, services and primary income (BoP, current US$)",85992110565
1995,"Foreign direct investment, net inflows (BoP, current US$)",4178239335
1995,Net ODA received per capita (current US$),5.210466991
1995,"Total reserves (includes gold, current US$)",24698750841
1995,Total reserves in months of imports,3.165888365
1995,GNI (current US$),84567384370
1996,"Imports of goods, services and primary income (BoP, current US$)",98092861820
1996,"Current account balance (BoP, current US$)",-4461946169
1996,"Exports of goods, services and primary income (BoP, current US$)",94813375107
1996,"Foreign direct investment, net inflows (BoP, current US$)",5078414948
1996,Net ODA received per capita (current US$),-21.72463667
1996,"Total reserves (includes gold, current US$)",27891908787
1996,Total reserves in months of imports,3.412102565
1996,GNI (current US$),96164639478
1997,"Imports of goods, services and primary income (BoP, current US$)",1.00E+11
1997,"Current account balance (BoP, current US$)",-5935251479
1997,"Exports of goods, services and primary income (BoP, current US$)",95750319181
1997,"Foreign direct investment, net inflows (BoP, current US$)",5136514576
1997,Net ODA received per capita (current US$),-11.14605127
1997,"Total reserves (includes gold, current US$)",21470190358
1997,Total reserves in months of imports,2.571889811
1997,GNI (current US$),94647952303
1998,"Imports of goods, services and primary income (BoP, current US$)",72950469820
1998,"Current account balance (BoP, current US$)",9528651059
1998,"Exports of goods, services and primary income (BoP, current US$)",84941678611
1998,"Foreign direct investment, net inflows (BoP, current US$)",2163401816
1998,Net ODA received per capita (current US$),9.122458144
1998,"Total reserves (includes gold, current US$)",26235700001
1998,Total reserves in months of imports,4.315645955
1998,GNI (current US$),68264115369
1999,"Imports of goods, services and primary income (BoP, current US$)",83638842105
1999,"Current account balance (BoP, current US$)",12603657895
1999,"Exports of goods, services and primary income (BoP, current US$)",97970763158
1999,"Foreign direct investment, net inflows (BoP, current US$)",3895263158
1999,Net ODA received per capita (current US$),6.439613153
1999,"Total reserves (includes gold, current US$)",30930646966
1999,Total reserves in months of imports,4.437743927
1999,GNI (current US$),73652105263
2000,"Imports of goods, services and primary income (BoP, current US$)",1.04E+11
2000,"Current account balance (BoP, current US$)",8487894737
2000,"Exports of goods, services and primary income (BoP, current US$)",1.14E+11
2000,"Foreign direct investment, net inflows (BoP, current US$)",3787631579
2000,Net ODA received per capita (current US$),2.097502047
2000,"Total reserves (includes gold, current US$)",28650936564
2000,Total reserves in months of imports,3.31032261
2000,GNI (current US$),86182105263
2001,"Imports of goods, services and primary income (BoP, current US$)",94771052632
2001,"Current account balance (BoP, current US$)",7286842368
2001,"Exports of goods, services and primary income (BoP, current US$)",1.04E+11
2001,"Foreign direct investment, net inflows (BoP, current US$)",553947368.4
2001,Net ODA received per capita (current US$),1.237076752
2001,"Total reserves (includes gold, current US$)",29845803174
2001,Total reserves in months of imports,3.779103726
2001,GNI (current US$),86041052632
2002,"Imports of goods, services and primary income (BoP, current US$)",1.00E+11
2002,"Current account balance (BoP, current US$)",7189736842
2002,"Exports of goods, services and primary income (BoP, current US$)",1.10E+11
2002,"Foreign direct investment, net inflows (BoP, current US$)",3192894737
2002,Net ODA received per capita (current US$),3.690455774
2002,"Total reserves (includes gold, current US$)",33761683388
2002,Total reserves in months of imports,4.035129815
2002,GNI (current US$),94250526316
2003,"Imports of goods, services and primary income (BoP, current US$)",1.06E+11
2003,"Current account balance (BoP, current US$)",13381157895
2003,"Exports of goods, services and primary income (BoP, current US$)",1.22E+11
2003,"Foreign direct investment, net inflows (BoP, current US$)",3218947368
2003,Net ODA received per capita (current US$),4.466610314
2003,"Total reserves (includes gold, current US$)",44309888491
2003,Total reserves in months of imports,5.007262129
2003,GNI (current US$),1.04E+11
2004,"Imports of goods, services and primary income (BoP, current US$)",1.29E+11
2004,"Current account balance (BoP, current US$)",15079434211
2004,"Exports of goods, services and primary income (BoP, current US$)",1.48E+11
2004,"Foreign direct investment, net inflows (BoP, current US$)",4376052632
2004,Net ODA received per capita (current US$),11.87861319
2004,"Total reserves (includes gold, current US$)",66393546884
2004,Total reserves in months of imports,6.164837669
2004,GNI (current US$),1.18E+11
2005,"Imports of goods, services and primary income (BoP, current US$)",1.42E+11
2005,"Current account balance (BoP, current US$)",19979946360
2005,"Exports of goods, services and primary income (BoP, current US$)",1.67E+11
2005,"Foreign direct investment, net inflows (BoP, current US$)",3924786635
2005,Net ODA received per capita (current US$),1.137380474
2005,"Total reserves (includes gold, current US$)",70458190075
2005,Total reserves in months of imports,5.943001358
2005,GNI (current US$),1.37E+11
2006,"Imports of goods, services and primary income (BoP, current US$)",1.60E+11
2006,"Current account balance (BoP, current US$)",26199509355
2006,"Exports of goods, services and primary income (BoP, current US$)",1.91E+11
2006,"Foreign direct investment, net inflows (BoP, current US$)",7690731246
2006,Net ODA received per capita (current US$),9.211524306
2006,"Total reserves (includes gold, current US$)",82876090883
2006,Total reserves in months of imports,6.204070775
2006,GNI (current US$),1.58E+11
2007,"Imports of goods, services and primary income (BoP, current US$)",1.83E+11
2007,"Current account balance (BoP, current US$)",29770093208
2007,"Exports of goods, services and primary income (BoP, current US$)",2.17E+11
2007,"Foreign direct investment, net inflows (BoP, current US$)",9071369835
2007,Net ODA received per capita (current US$),7.565389023
2007,"Total reserves (includes gold, current US$)",1.02E+11
2007,Total reserves in months of imports,6.704203768
2007,GNI (current US$),1.89E+11
2008,"Imports of goods, services and primary income (BoP, current US$)",1.98E+11
2008,"Current account balance (BoP, current US$)",38914368952
2008,"Exports of goods, services and primary income (BoP, current US$)",2.42E+11
2008,"Foreign direct investment, net inflows (BoP, current US$)",7572512432
2008,Net ODA received per capita (current US$),5.740562919
2008,"Total reserves (includes gold, current US$)",92166457065
2008,Total reserves in months of imports,5.589263215
2008,GNI (current US$),2.24E+11
2009,"Imports of goods, services and primary income (BoP, current US$)",1.60E+11
2009,"Current account balance (BoP, current US$)",31800960631
2009,"Exports of goods, services and primary income (BoP, current US$)",1.98E+11
2009,"Foreign direct investment, net inflows (BoP, current US$)",114664434.6
2009,Net ODA received per capita (current US$),5.044881787
2009,"Total reserves (includes gold, current US$)",96704054215
2009,Total reserves in months of imports,7.244614621
