Indicator Name,Value
"Imports of goods, services and primary income (BoP, current US$)",2.47E+11
"Imports of goods, services and primary income (BoP, current US$)",2.23E+11
"Imports of goods, services and primary income (BoP, current US$)",2.01E+11
"Imports of goods, services and primary income (BoP, current US$)",2.08E+11
"Imports of goods, services and primary income (BoP, current US$)",2.45E+11
"Imports of goods, services and primary income (BoP, current US$)",2.43E+11
"Imports of goods, services and primary income (BoP, current US$)",2.41E+11
"Imports of goods, services and primary income (BoP, current US$)",2.32E+11
"Imports of goods, services and primary income (BoP, current US$)",2.02E+11
"Imports of goods, services and primary income (BoP, current US$)",1.60E+11
"Imports of goods, services and primary income (BoP, current US$)",1.98E+11
"Imports of goods, services and primary income (BoP, current US$)",1.83E+11
"Imports of goods, services and primary income (BoP, current US$)",1.60E+11
"Imports of goods, services and primary income (BoP, current US$)",1.42E+11
"Imports of goods, services and primary income (BoP, current US$)",1.29E+11
"Imports of goods, services and primary income (BoP, current US$)",1.06E+11
"Imports of goods, services and primary income (BoP, current US$)",1.00E+11
"Imports of goods, services and primary income (BoP, current US$)",94771052632
"Imports of goods, services and primary income (BoP, current US$)",1.04E+11
"Imports of goods, services and primary income (BoP, current US$)",83638842105
"Imports of goods, services and primary income (BoP, current US$)",72950469820
"Imports of goods, services and primary income (BoP, current US$)",1.00E+11
"Imports of goods, services and primary income (BoP, current US$)",98092861820
"Imports of goods, services and primary income (BoP, current US$)",93618275804
"Imports of goods, services and primary income (BoP, current US$)",73275225873
"Imports of goods, services and primary income (BoP, current US$)",57934924702
"Imports of goods, services and primary income (BoP, current US$)",48760231087
"Imports of goods, services and primary income (BoP, current US$)",43782938595
"Imports of goods, services and primary income (BoP, current US$)",35485928185
"Imports of goods, services and primary income (BoP, current US$)",28641024300
"Imports of goods, services and primary income (BoP, current US$)",22790354299
"Imports of goods, services and primary income (BoP, current US$)",18485192650
"Imports of goods, services and primary income (BoP, current US$)",16344742763
"Imports of goods, services and primary income (BoP, current US$)",18383098686
"Imports of goods, services and primary income (BoP, current US$)",20699836797
"Imports of goods, services and primary income (BoP, current US$)",19705331186
"Imports of goods, services and primary income (BoP, current US$)",17867238550
"Imports of goods, services and primary income (BoP, current US$)",16330711230
"Imports of goods, services and primary income (BoP, current US$)",15100487707
"Imports of goods, services and primary income (BoP, current US$)",11481685983
