date,value
2017-01-01,8570094243
2016-01-01,9368469823
2015-01-01,13470089921
2014-01-01,9857162112
201-01-013,10619431583
2012-01-01,11296279514
2011-01-01,8895774251
2010-01-01,15119439204
2009-01-01,10885801852
2008-01-01,114664434.6
2007-01-01,7572512432
2006-01-01,9071369835
2005-01-01,7690731246
2004-01-01,3924786635
2003-01-01,4376052632
2002-01-01,3218947368
2001-01-01,3192894737
2000-01-01,553947368.4
1999-01-01,3787631579
1998-01-01,3895263158
1997-01-01,2163401816
1996-01-01,5136514576
1995-01-01,5078414948
1994-01-01,4178239335
1993-01-01,4341800916
1992-01-01,5005642760
1991-01-01,5183358086
1990-01-01,3998448522
1989-01-01,2332455289
1988-01-01,1667871569
1987-01-01,719418050.4
1986-01-01,422679710
1985-01-01,488874111
1984-01-01,694712466.2
1983-01-01,797476861.3
1982-01-01,1260527733
1981-01-01,1397196045
1980-01-01,1264688331
1979-01-01,933903976.3
1978-01-01,573467421.8
1977-01-01,499991005
1976-01-01,405885818.5
1975-01-01,381259652.1
1974-01-01,350491202.9
